Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A versatile package recommendation framework aiming at preference score maximization,Evolving Systems,,11,3,10.1007/s12530-018-9231-2,Panagiotis KourisIraklis VarlamisGeorgios AlexandridisAndreas Stafylopatis,2020,http://link.springer.com/article/10.1007/s12530-018-9231-2,Article
A graph-based approach for minimising the knowledge requirement of explainable recommender systems,Knowledge and Information Systems,,65,10,10.1007/s10115-023-01903-9,Marta Caro-MartínezGuillermo Jiménez-DíazJuan A. Recio-Garcia,2023,http://link.springer.com/article/10.1007/s10115-023-01903-9,Article
Hashing-based semantic relevance attributed knowledge graph embedding enhancement for deep probabilistic recommendation,Applied Intelligence,,53,2,10.1007/s10489-022-03235-7,Nasrullah KhanZongmin MaLi YanAman Ullah,2023,http://link.springer.com/article/10.1007/s10489-022-03235-7,Article
Sequential group recommendations based on satisfaction and disagreement scores,Journal of Intelligent Information Systems,,58,2,10.1007/s10844-021-00652-x,Maria StratigiEvaggelia PitouraJyrki NummenmaaKostas Stefanidis,2022,http://link.springer.com/article/10.1007/s10844-021-00652-x,Article
Recommending content using side information,Applied Intelligence,,51,6,10.1007/s10489-020-01945-4,Rabeh RavanifardWray BuntineAbdolreza Mirzaei,2021,http://link.springer.com/article/10.1007/s10489-020-01945-4,Article
Disentangled variational auto-encoder enhanced by counterfactual data for debiasing recommendation,Complex & Intelligent Systems,,10,2,10.1007/s40747-023-01314-x,Yupu GuoFei CaiJianming ZhengXin ZhangHonghui Chen,2024,http://link.springer.com/article/10.1007/s40747-023-01314-x,Article
An overview of consensus models for group decision-making and group recommender systems,User Modeling and User-Adapted Interaction,,34,3,10.1007/s11257-023-09380-z,Thi Ngoc Trang TranAlexander FelfernigViet Man Le,2024,http://link.springer.com/article/10.1007/s11257-023-09380-z,Article
Generating post hoc review-based natural language justifications for recommender systems,User Modeling and User-Adapted Interaction,,31,3,10.1007/s11257-020-09270-8,Cataldo MustoMarco de GemmisPasquale LopsGiovanni Semeraro,2021,http://link.springer.com/article/10.1007/s11257-020-09270-8,Article
Research on Understanding the Effect of Deep Learning on User Preferences,Arabian Journal for Science and Engineering,,46,4,10.1007/s13369-020-05112-2,Garima GuptaRahul Katarya,2021,http://link.springer.com/article/10.1007/s13369-020-05112-2,Article
Disentangling User Cognitive Intent with Causal Reasoning for Knowledge-Enhanced Recommendation,Cognitive Computation,,16,6,10.1007/s12559-024-10321-0,Hongcai xuJunpeng BaoQika LinLifang HouFeng Chen,2024,http://link.springer.com/article/10.1007/s12559-024-10321-0,Article
